"claim_id","source_section","source_excerpt_short","claim_summary","claim_nature","audit_status","current_project_reference","conflict_or_change","external_verification_required","external_source","recommendation","user_decision_required","downstream_effect","notes"
"RC-011","Sequenza metodologica","fattibilità energetica ... vincolo o criterio","Il ruolo della fattibilità energetica può essere HARD o SOFT.","METHODOLOGICAL_CHOICE","ADAPT","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12; ROADMAP_METODOLOGICA_v2 V2-2; DEC-0050/0053","Il proxy energetico macro è accettato come dato; ruolo/formula definitiva appartengono a DQ-02/DQ-03 e non sono approvati.","NO","","Mantenere solo come scelta pendente; non pre-assegnare ruolo HARD.","YES","DQ-02/DQ-03","Capacità reale resta post-model."
"RC-012","Sequenza metodologica","normalizzazione e ponderazione","Gli indicatori soft richiedono trasformazione/normalizzazione e pesi espliciti.","METHODOLOGICAL_CHOICE","KEEP","ROADMAP_METODOLOGICA_v2 V2-4/V2-5","La sequenza è approvata, non i metodi specifici.","NO","","Mantenere distinguendo processo approvato da formule pendenti.","NO","DQ-04…DQ-06",""
"RC-013","Sequenza metodologica","ranking dei singoli siti","È previsto uno score/ranking individuale tracciabile, se adottato.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8; ROADMAP_METODOLOGICA_v2 V2-5","","NO","","Mantenere come fase distinta dalla cinquina.","NO","V2-5",""
"RC-014","Sequenza metodologica","modello esplicito di selezione della migliore combinazione","La cinquina deve essere selezionata con procedura esplicita, non prendendo automaticamente i primi cinque.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §2, §8; ROADMAP_METODOLOGICA_v2 V2-6/V2-7","","NO","","Mantenere.","NO","V2-6/V2-7",""
"RC-015","Sequenza metodologica","test di robustezza","La soluzione deve essere sottoposta a sensitivity/robustness quantitativa.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §11; ROADMAP_METODOLOGICA_v2 V2-8","","NO","","Mantenere; piano specifico resta DQ-10.","NO","V2-8",""
"RC-016","Sequenza metodologica","verifiche di dettaglio sui cinque siti selezionati","Due diligence puntuale dei cinque finalisti è condizione per consolidare il modello.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0061/0062; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §6; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §3","MODEL_v2 ha spostato accesso locale definitivo, urbanistica definitiva, proprietà, connessione reale e autorizzazioni in DEFER_POST_MODEL.","NO","","Spostare dopo il risultato strategico come raccomandazione di approfondimento, non come gate del freeze MODEL_v2.","NO","POST_MODEL",""
"RC-017","Sequenza metodologica","non dall’individuazione preventiva dei cinque siti","La selezione deve derivare dall'intero universo e da regole dichiarate, non da giustificazione ex post.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §2; CANDIDATE_UNIVERSE_CONTRACT_v01 §1","Coerente con riproducibilità e anti-cherry-picking.","NO","","Mantenere.","NO","MODEL_INTEGRITY",""
"RC-018","AFIR/TEN-T","H2 ... entro 10 km di percorrenza stradale dall’uscita TEN-T","Per AFIR una stazione H2 è 'lungo TEN-T' se sulla rete o entro 10 km stradali dalla più vicina uscita TEN-T.","REGULATORY_REQUIREMENT","KEEP","FASE_1_HUB_DEFINITION_REBASELINED_v03 §4; FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01 §10","Verificato sul testo AFIR corrente.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 2(3): https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere come definizione normativa; calcolo su distanza stradale dall'accesso appropriato.","NO","AFIR_ROLE / ROUTING","Non è una distanza minima tra Hub."
"RC-019","AFIR/TEN-T","per le infrastrutture di ricarica elettrica ... 3 km","Per AFIR una stazione EV è 'lungo TEN-T' se sulla rete o entro 3 km stradali dalla più vicina uscita TEN-T.","REGULATORY_REQUIREMENT","KEEP","FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01 §10","Verificato sul testo AFIR corrente.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 2(3): https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere solo quando il requisito AFIR EV è materialmente rilevante al ruolo assegnato.","NO","AFIR_ROLE",""
"RC-020","AFIR/TEN-T","entro il 31 dicembre 2030","Target H2 AFIR rilevante entro 31/12/2030.","REGULATORY_REQUIREMENT","KEEP","DEC-0007/F1-D2","Verificato.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 6(1): https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere con data esplicita.","NO","AFIR_ROLE",""
"RC-021","AFIR/TEN-T","lungo la rete centrale TEN-T ... 200 km","AFIR richiede H2 pubblico lungo TEN-T core con distanza massima 200 km tra stazioni.","REGULATORY_REQUIREMENT","KEEP","DEC-0007/F1-D2; FASE_1_HUB_DEFINITION_REBASELINED_v03 §4","Verificato; non è requisito corrente sulla comprehensive network.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 6(1) e art. 24: https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere separando target normativo di rete da vincoli progettuali della cinquina.","NO","DQ-07/DQ-08 IF AFIR ROLE","Art. 24 prevede valutazione futura dell'estensione alla comprehensive."
"RC-022","AFIR/TEN-T","capacità cumulativa minima di 1 t/giorno","La stazione H2 che assolve il target dell'art. 6 deve essere progettata per almeno 1 t/giorno di capacità cumulativa.","REGULATORY_REQUIREMENT","KEEP","DEC-0007/F1-D2","Verificato; F1-D2 limita l'obbligo agli Hub con funzione AFIR/TEN-T pertinente.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 6(1): https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere senza imporlo automaticamente a tutti e cinque gli Hub.","NO","AFIR_ROLE / HUB_DIMENSIONING","Esiste deroga di capacità art. 6(4) in condizioni specifiche; non applicarla implicitamente."
"RC-023","AFIR/TEN-T","almeno un erogatore a 700 bar","La stazione H2 con funzione AFIR art. 6 deve avere almeno un dispenser a 700 bar.","REGULATORY_REQUIREMENT","KEEP","DEC-0007/F1-D2","Verificato.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, art. 6(1): https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere solo per funzione AFIR pertinente.","NO","AFIR_ROLE / HUB_DIMENSIONING",""
"RC-024","AFIR/TEN-T","200 km riguarda ... rete centrale e non globale","Il target H2 200 km dell'art. 6 riguarda la TEN-T core, non la comprehensive.","REGULATORY_REQUIREMENT","KEEP","DEC-0007/F1-D2; DEC-0035","Confermato dal testo corrente e dalla clausola di review sull'eventuale futura estensione.","YES","EUR-Lex Reg. (UE) 2023/1804 consolidato 08-01-2026, artt. 6 e 24: https://eur-lex.europa.eu/eli/reg/2023/1804/2026-01-08","Mantenere.","NO","AFIR_ROLE",""
"RC-025","AFIR/TEN-T","distanza minima di 10 km tra le cinque localizzazioni","È richiesto un minimo di 10 km tra Hub come requisito di commessa, non AFIR.","USER_REQUIREMENT / REQUIREMENT_OF_COMMISSION","NEW_INFORMATION","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §8; ROADMAP_METODOLOGICA_v2 V2-6","Il vincolo di distanza della cinquina non è ancora approvato; DQ-07/DQ-08 restano pendenti.","NO","","Registrare come requisito utente/commessa pendente; chiedere decisione esplicita prima del configuration contract.","YES","DQ-07/DQ-08","Non confondere con i 10 km AFIR dalla TEN-T exit."
"RC-026","AFIR/TEN-T","preventiva validazione della rete TEN-T","La rete TEN-T FVG deve essere validata prima dell'uso modellistico.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0035; FASE_3_TENT_CROSSWALK_VALIDATION_REVIEW_v01.md","La validazione/crosswalk è già stata completata e accettata.","NO","","Riscrivere al passato: crosswalk validato e disponibile.","NO","RELATION_UPDATE",""
"RC-027","Configurazione energetica","FER all’interno del sito non costituisce requisito obbligatorio","FER fisica in sito non è obbligatoria.","DESIGN_CHOICE","KEEP","DEC-0009/F1-D4; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-028","Configurazione energetica","compatibile con l’eventuale utilizzo diretto dell’energia rinnovabile","L'Hub deve essere compatibile con uso diretto di energia rinnovabile.","DESIGN_CHOICE","KEEP","DEC-0009/F1-D4","Coerente con la decisione FROZEN originaria.","NO","","Mantenere senza tradurlo in un test progettuale puntuale non approvato.","NO","HUB_DEFINITION",""
"RC-029","Configurazione energetica","non assume a priori specifica architettura di approvvigionamento H2","Il modello non predefinisce tube trailer, pipeline o elettrolisi in sito.","DESIGN_CHOICE","KEEP","DEC-0011/F1-D6; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2, §6","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-030","Configurazione energetica","tube trailer o pipeline ed elettrolisi in sito ... esigenze territoriali","Le architetture H2 rilevano solo per esigenze localizzative osservabili.","METHODOLOGICAL_CHOICE","KEEP","DEC-0011/F1-D6; FASE_1_HUB_DEFINITION_REBASELINED_v03 §3","","NO","","Mantenere.","NO","CRITERIA_INPUT",""
"RC-031","Configurazione energetica","idrogeno rinnovabile o certificato non ... requisito","H2 rinnovabile/certificato non è requisito universale del nucleo minimo.","DESIGN_CHOICE","KEEP","DEC-0010/F1-D5; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-032","Configurazione energetica","Biocarburanti ... non rientrano nel nucleo minimo","Biocarburanti e altri vettori restano opzionali.","DESIGN_CHOICE","KEEP","DEC-0012/F1-D7; FASE_1_HUB_DEFINITION_REBASELINED_v03 §2","","NO","","Mantenere.","NO","HUB_DEFINITION",""
"RC-033","Base urbanistica","Mosaicatura PRG 2018 ... HISTORICAL ONLY / SUPPORT ONLY","CER/Mosaicatura PRG 2018 è solo fallback storico/supporto.","FACT_OBSERVED","KEEP","DEC-0032/0048; CANDIDATE_UNIVERSE_CONTRACT_v01 §4 Tier S4; DEC-0065","","NO","","Mantenere.","NO","V2-1 SOURCE_HIERARCHY",""
"RC-034","Base urbanistica","approccio current-first / ibrido","La generazione candidati usa urbanistica ufficiale best-available current-first.","METHODOLOGICAL_CHOICE","KEEP","DEC-0065; CANDIDATE_UNIVERSE_CONTRACT_v01 §3-4","","NO","","Mantenere usando la formulazione DQ-01 vigente.","NO","V2-1",""
"RC-035","Base urbanistica","Per ogni Comune dovranno essere identificati il PRGC ... verificandone atto/data","È obbligatoria verifica completa della vigenza urbanistica per tutti i 215 Comuni prima dei candidati.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0048; DEC-0062; CANDIDATE_UNIVERSE_CONTRACT_v01 §4","MODEL_v2 usa best-available con flag di currentness; verifica giuridica definitiva è post-model.","NO","","Sostituire con gerarchia Tier S1–S5 e flag PLANNING_CURRENTNESS_NOT_VERIFIED.","NO","V2-1 / POST_MODEL",""
"RC-036","Base urbanistica","EagleFVG ... solo quando dimostrabile corrispondenza con variante vigente","Geometrie regionali non correnti non possono essere usate fino a dimostrazione puntuale di vigenza.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0048; CANDIDATE_UNIVERSE_CONTRACT_v01 §4 Tier S2/S3","Sono ammesse come proxy ufficiale best-available con flag, senza attestazione di vigenza.","NO","","Riformulare secondo source tier DQ-01.","NO","V2-1",""
"RC-037","Rete stradale e routing","grafo stradale ufficiale circa 75.500 segmenti ... non validato routing","Il grafo regionale non è idoneo da solo al routing di produzione Light/Heavy.","FACT_OBSERVED","KEEP","DEC-0054/0055; PROJECT_SOURCE_OF_TRUTH §10","Resta vero come limite del dataset, ma non è più blocker.","NO","","Conservare solo come contesto/supporto storico se utile.","NO","RELATION_CONTEXT",""
"RC-038","Rete stradale e routing","OSM ... supporto e confronto","OSM frozen può essere usato solo come supporto/confronto nel 5 HUB.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0054/0055; REVIEW_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md","È stato approvato il riuso macro Light di G_OSM_operativo, Gamma_OSM e OD_PATH_SYSTEM_OSM FROZEN.","NO","","Riscrivere: OSM/Gamma/OD paths sono baseline operative macro Light; Heavy usa baseline Heavy/Speth approvata.","NO","ROUTING_BASELINE",""
"RC-039","Rete stradale e routing","eventuale utilizzo come rete operativa ... dovrà essere formalmente verificato","La scelta della rete Light operativa è ancora aperta.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0054/0055; REVIEW_CHAT_3.10_LIGHT_HEAVY_BASELINES_v01.md","Scelta già risolta per il riuso macro approvato.","NO","","Eliminare come task aperto.","NO","ROUTING_BASELINE",""
"RC-040","Rete stradale e routing","selezione e validazione della rete di routing","Occorre ancora selezionare/validare ex novo una rete region-wide per Light.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0054/0055","Non è necessario ricostruire il routing Light region-wide.","NO","","Sostituire con riuso frozen e QA/limiti già documentati.","NO","ROUTING_BASELINE",""
"RC-041","Rete stradale e routing","restrizioni specifiche per i veicoli pesanti","Serve verifica puntuale delle restrizioni Heavy per ogni candidato nel core.","METHODOLOGICAL_CHOICE","SUPERSEDED","DEC-0055; DEC-0062 successor disposition; FASE_1_HUB_DEFINITION_REBASELINED_v03 §5","Heavy macro resta core; restrizioni/accessibilità locale definitive sono DEFER_POST_MODEL salvo futura regola GIS approvata.","NO","","Trattare eventuale criticità locale come flag/post-model.","NO","POST_MODEL",""
"RC-042","Rete stradale e routing","procedura di creazione e validazione degli accessi reali","Tutti gli accessi reali devono essere creati e validati prima del modello.","METHODOLOGICAL_CHOICE","ADAPT","FASE_2_UNIT_ANALYSIS_CONSOLIDATED_v01 §5, §10; DEC-0062","Gli access point restano geometrie ausiliarie se richieste da un indicatore approvato; progettazione/validazione definitiva è post-model.","NO","","Usare accessi/road anchor solo per misure che li richiedono; niente due diligence generalizzata.","YES","DQ-02/DQ-03 IF ACCESS INDICATOR",""
"RC-043","TEN-T crosswalk","tre livelli core, extended core, comprehensive","La TEN-T corrente è articolata nei tre livelli indicati.","FACT_OBSERVED","KEEP","DEC-0035; FASE_3_TENT_CROSSWALK_VALIDATION_REVIEW_v01.md","","NO","","Mantenere come contesto del crosswalk.","NO","TEN_T_BASELINE",""
"RC-044","TEN-T crosswalk","11 sezioni ... 6 assi ... 9 CORE ... 2 COMPREHENSIVE-only","Il crosswalk FVG validato contiene 11 sezioni, 6 assi, 9 core, 0 extended core, 2 comprehensive-only.","FACT_OBSERVED","KEEP","DEC-0035; PROJECT_SOURCE_OF_TRUTH §10","","NO","","Mantenere.","NO","TEN_T_BASELINE",""
"RC-045","TEN-T crosswalk","costruzione e validazione completa ... passaggio preliminare","Il crosswalk TEN-T deve ancora essere completato/validato.","FACT_OBSERVED","SUPERSEDED","DEC-0035; FASE_3_TENT_CROSSWALK_VALIDATION_REVIEW_v01.md","Crosswalk già validato e accettato.","NO","","Riscrivere al passato.","NO","RELATION_UPDATE",""
"RC-046","TEN-T uscite","rampa si separa dalla carreggiata TEN-T","Nearest exit è ancorata al punto di divergenza della rampa dalla carreggiata TEN-T.","METHODOLOGICAL_CHOICE","KEEP","DEC-0036; FASE_3_TENT_EXIT_RELEVANCE_SCREENING_v01.md","","NO","","Mantenere.","NO","AFIR_DISTANCE",""
"RC-047","TEN-T uscite","non ... rotatorie o normali intersezioni a raso a un’uscita","Nel dominio corrente non si introducono pseudo-uscite a raso.","METHODOLOGICAL_CHOICE","KEEP","DEC-0036","","NO","","Mantenere; riaprire solo se cambia il dominio TEN-T/rete.","NO","AFIR_DISTANCE",""
"RC-048","Ambiente","presenza di un vincolo ... non determina automaticamente HARD o SOFT","Un tematismo ambientale non produce automaticamente esclusione o punteggio.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §9, §12; DEC-0039…0043","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-049","PGRA","semplice presenza ... non determina automaticamente l’esclusione","Pericolosità/allagabilità PGRA non è hard per sola presenza.","METHODOLOGICAL_CHOICE","KEEP","DEC-0039; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-050","PGRA","esclusione quando disciplina vigente rende intervento incompatibile","Una incompatibilità normativa PGRA può generare hard exclusion.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0039; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §9, §12","Principio accettato, ma nel MODEL_v2 una regola HARD deve essere operazionalizzata e approvata in DQ-02/DQ-03.","NO","","Non codificare hard finché il contratto criteri non lo approva.","YES","DQ-02/DQ-03",""
"RC-051","PGRA","negli altri casi ... fattori negativi","PGRA può contribuire negativamente allo scoring.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0039; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12","Ruolo soft è coerente come proposta, ma formula/peso non sono approvati.","NO","","Portare a DQ-02/DQ-04/DQ-05.","YES","DQ-02/DQ-04/DQ-05",""
"RC-052","PAI/frane","PAI vigente ... riferimento operativo","PAI vigente è riferimento normativo principale per frane.","FACT_OBSERVED","KEEP","DEC-0040/0058; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §3","","NO","","Mantenere come supporto macro/flag; pointwise post-model.","NO","ENVIRONMENT_BASELINE",""
"RC-053","PAI/frane","Catasto Frane ... funzione conoscitiva","Catasto Frane/IFFI non genera automaticamente esclusione o score.","METHODOLOGICAL_CHOICE","KEEP","DEC-0040/0058","","NO","","Mantenere.","NO","ENVIRONMENT_BASELINE",""
"RC-054","Natura 2000","non ... esclusione automatica ... sola intersezione o distanza","Natura 2000 non genera hard/penalty automatici per distanza/intersezione.","METHODOLOGICAL_CHOICE","KEEP","DEC-0041; DEC-0063; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §5","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-055","Natura 2000","pre-screening ... prevalutazioni regionali","Il modello usa pre-screening e prevalutazioni come supporto/flag.","METHODOLOGICAL_CHOICE","KEEP","DEC-0041; REVIEW_CHAT_3.12_NATURA2000_v01.md; DEC-0063","","NO","","Mantenere senza equivalenza a VINCA.","NO","ENVIRONMENT_BASELINE",""
"RC-056","Natura 2000","non potrà dichiarare autonomamente superata la VINCA","Il modello non certifica VINCA_PASSED.","METHODOLOGICAL_CHOICE","KEEP","DEC-0041; DEC-0063","","NO","","Mantenere.","NO","POST_MODEL",""
"RC-057","Parchi/riserve","non determinano automaticamente eliminazione","Parchi e riserve non sono hard per sola intersezione.","METHODOLOGICAL_CHOICE","KEEP","DEC-0042; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12","","NO","","Mantenere; eventuale incompatibilità hard richiede regola operativa approvata.","NO","DQ-02/DQ-03",""
"RC-058","Biotopi","40 poligoni ... lacune verificate puntualmente sui finalisti","Il gap biotopi residuo va gestito con flag e verifica puntuale.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0042; DEC-0062 successor disposition","Il controllo puntuale non è gate del core; è post-model.","NO","","Mantenere gap/flag nel core e spostare verifica puntuale post-model.","NO","POST_MODEL",""
"RC-059","Prati stabili","flag DEROGA_REQUIRED","Intersezione con prati stabili tutelati genera DEROGA_REQUIRED, non hard automatico.","METHODOLOGICAL_CHOICE","KEEP","DEC-0042; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §3","","NO","","Mantenere come flag.","NO","DQ-02/DQ-03",""
"RC-060","Prati stabili","penalizzazione da definire in fase di scoring","È prevista necessariamente una penalizzazione per prati stabili.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0062; REBASELINE_APPROVAL_AND_PHASE3_CLOSE_v01 §3","La re-baseline revoca qualsiasi penalizzazione pre-approvata; eventuale soft criterion è futuro.","NO","","Sostituire con 'eventuale penalizzazione solo se approvata in DQ-02/DQ-05'.","YES","DQ-02/DQ-05",""
"RC-061","PPR","semplice intersezione ... non produce automaticamente esclusione o penalizzazione","PPR non genera hard/score automatico per intersezione.","METHODOLOGICAL_CHOICE","KEEP","DEC-0043; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-062","PPR","PPR_CHECK_REQUIRED","Beni ex artt. 136/142 e contesti prescrittivi generano flag di verifica.","METHODOLOGICAL_CHOICE","KEEP","DEC-0043; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §12","","NO","","Mantenere come flag, non come autorizzazione.","NO","ENVIRONMENT_FLAGS",""
"RC-063","PPR","non è previsto ... punteggio PPR generico","Nessun punteggio PPR generico è approvato.","METHODOLOGICAL_CHOICE","KEEP","DEC-0043; DEC-0062","","NO","","Mantenere.","NO","DQ-02/DQ-05",""
"RC-064","Energia","prossimità geometrica ... non equivalente capacità","Vicinanza a linea/cabina non equivale a capacità elettrica disponibile.","PROXY","KEEP","DEC-0050/0053; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §10","","NO","","Mantenere in evidenza.","NO","ENERGY_PROXY",""
"RC-065","Energia","aree convenzionali cabine primarie non ... posizione fisica né capacità","Le aree convenzionali non sono né punto fisico né capacità disponibile.","PROXY","KEEP","DEC-0050/0053; REVIEW_CHAT_3.5_ELECTRIC_GRID_PROXY_v01.md","","NO","","Mantenere.","NO","ENERGY_PROXY",""
"RC-066","Energia","indicatori indiretti ... qualificati come proxy","Ogni indicatore elettrico indiretto deve dichiarare significato e limiti.","METHODOLOGICAL_CHOICE","KEEP","DEC-0050/0053; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §10","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-067","Energia","distanza dalla cabina primaria","Usare la distanza dalla cabina primaria come indicatore di scoring energetico.","METHODOLOGICAL_CHOICE","NEW_INFORMATION","DEC-0053; ROADMAP_METODOLOGICA_v2 V2-2/V2-3","Baseline dati/proxy approvata, ma metrica, target, formula e ruolo dell'indicatore non lo sono.","NO","","Portare a DQ-02/DQ-03; evitare di chiamarla capacità.","YES","DQ-02/DQ-03",""
"RC-068","Energia","ranking ... rinviando verifica energetica a fase successiva","Se i dati energetici non sono completi, il ranking può omettere interamente l'energia.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0050/0053; PROJECT_MODEL_CONTRACT_REBASELINE_v01 §5, §12","MODEL_v2 dispone di proxy macro accettato; l'inclusione concreta resta DQ-02, mentre la capacità reale è comunque post-model.","NO","","Non prescrivere omissione automatica; decidere il ruolo del proxy nel contratto criteri.","YES","DQ-02/DQ-03",""
"RC-069","Domanda e contesto","disponibilità di una fonte non comporta automaticamente indicatore","Un dataset entra solo se risponde a una domanda decisionale e ha formula/semantica definite.","METHODOLOGICAL_CHOICE","KEEP","PROJECT_MODEL_CONTRACT_REBASELINE_v01 §5; ROADMAP_METODOLOGICA_v2 V2-2","","NO","","Mantenere.","NO","DQ-02/DQ-03",""
"RC-070","Universo candidati","categorie, estrazione, contiguità, merge/split, duplicati","L'universo deve avere regole esplicite di generazione e geometria.","METHODOLOGICAL_CHOICE","ADAPT","DEC-0065; CANDIDATE_UNIVERSE_CONTRACT_v01","Il concetto è valido ma ora esistono regole DQ-01 specifiche G1–G5, split, canonicalizzazione e no merge generalizzato.","NO","","Sostituire il testo generico con DQ-01 ACCEPTED.","NO","V2-1",""
