theme,dataset_or_layer,source_current,geometry_crs,current_semantics_or_legal_status,proposed_future_role,automatic_exclusion_approved,methodological_question,limitations
Biotopi - WFS,SITI_PROT:BIOTOPI,Regione Autonoma FVG / IRDAT,Polygon/MultiPolygon - EPSG:6708,"40 geometrie WFS; testo riepilogativo regionale ancora 40, ma tabella istituzionale e atti vigenti includono 42",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Pubblicazione regionale internamente disallineata; WFS incompleto per due biotopi istituiti il 09-06-2026; ISS-0011"
Biotopi - Monte Joanaz,DPReg 065/2026 + Allegato 2,Regione Autonoma FVG / Decreti,Cartografia legale PDF,"Biotopo istituito 09-06-2026; non presente nel WFS verificato",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Geometria vettoriale ufficiale aggiornata non reperita; nessuna digitizzazione implicita"
Biotopi - Prati di Spignon/Varh e Monte Craguenza/Kraguojnca,DPReg 066/2026 + Allegato 2,Regione Autonoma FVG / Decreti,Cartografia legale PDF,"Biotopo istituito 09-06-2026; non presente nel WFS verificato",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Geometria vettoriale ufficiale aggiornata non reperita; nessuna digitizzazione implicita"
Parchi comunali/intercomunali,SITI_PROT:PARCHI_COMUNALI_RAFVG,Regione Autonoma FVG / IRDAT,Polygon/MultiPolygon - EPSG:6708,"18 parchi; funzione anche nella rete ecologica locale",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-D,"Disciplina e regolamentazione comunale/sovracomunale da verificare"
Prati stabili,SITI_PROT:PRATISTABILI,Regione Autonoma FVG / IRDAT,Polygon/MultiPolygon - EPSG:6708,"10486 geometrie; PRATO_TUTELATO Si=8097 No=2389; DATA_AGG max 2025-07-29",ADMISSIBILITY_CHECK,NO,Q-METH-3.4-D,"Applicare tutela solo secondo stato legale/attributi correnti; regola operativa da approvare"
PPR - beni art. 136,PPR:v_paesaggi_delimitazione_art_136,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"50 feature; componente statutaria collegata a beni paesaggistici art. 136",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Verificare prescrizioni/atti specifici; intersezione non tradotta automaticamente in esclusione"
PPR - corsi d'acqua art. 142,PPR:v_corsi_acqua_aree_tutelate,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"974 feature; aree tutelate per legge",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Disciplina specifica e aggiornamenti Variante 2/2025"
PPR - laghi art. 142,PPR:v_laghi_aree_tutelate,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"151 feature; aree tutelate per legge",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Disciplina specifica da applicare"
PPR - battigia marittima,PPR:v_fascia_rispetto_battigia_marittima,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"1 feature regionale",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Ruolo dipende dalla disciplina ex art. 142 e dalla specifica trasformazione"
PPR - battigia lagunare,PPR:v_fascia_rispetto_battigia_lagunare,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"1 feature regionale",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Ruolo dipende dalla disciplina ex art. 142 e dalla specifica trasformazione"
PPR - montagne oltre 1600 m,PPR:v_montagne_oltre_1600_m,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"316 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Verificare disciplina art. 142"
PPR - ghiacciai,PPR:v_ghiacciai,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"28 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Verificare disciplina art. 142"
PPR - boschi,PPR:v_territori_coperti_da_foreste_e_boschi,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"18602 feature; materializzazione verificata",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Non confondere tutela paesaggistica con divieto assoluto"
PPR - parchi e riserve,PPR:v_parchi_e_riserve_naturali_nazionali_o_regionali,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"18 feature PPR",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Sovrapposizione con disciplina naturalistica; evitare doppio conteggio logico"
PPR - aree umide,PPR:v_aree_umide,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"3 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Coordinare con Ramsar/altre tutele"
PPR - usi civici,PPR:v_usi_civici,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"13477 feature; materializzazione verificata",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Regime giuridico specifico; non automatizzare esclusione"
PPR - zone interesse archeologico,PPR:v_zone_interesse_archeologico,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"1534 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Verificare disciplina specifica e atti"
PPR - ulteriori contesti archeologici,PPR:v_ulteriori_contesti_archeologici,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"3578 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Ulteriore contesto PPR; prescrizione specifica da ricondurre alle NTA"
PPR - immobili interesse storico/artistico/architettonico,PPR:v_uc_immobili_int_storico_artistico_architettonico,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"3311 feature",ADMISSIBILITY_CHECK / CONTEXT_ONLY / TO_DECIDE,NO,Q-METH-3.4-E,"Perimetro/valore legale da verificare sull'atto quando richiesto; non assumere il solo GIS come prova definitiva"
PPR - ulteriori contesti immobili decretati,PPR:v_ulteriori_contesti_immobili_decretati,Regione Autonoma FVG / PPR WFS,Shapefile ZIP - EPSG:6708,"73 feature",ADMISSIBILITY_CHECK / TO_DECIDE,NO,Q-METH-3.4-E,"Consultare atto/decreto e prescrizioni specifiche"
