element_type,element_id,element_name,current_status,proposed_disposition,core_role_v2,rationale,roadmap_impact,user_approval_required,successor_or_note
DECISION,DEC-0015,Repository GitHub privato pubblicato come indren9/5-hub e collegato al repository locale C:\dev\5-hub tramite remote origin.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0016,"ROADMAP_METODOLOGICA_v1 persistita nel repository ufficiale in C:\dev\5-hub\docs\ROADMAP_METODOLOGICA_v1.md; aggiornato solo lo stato di avanzamento, metodologia invariata.",ACCEPTED,SUPERSEDE_PROPOSED,roadmap,Roadmap v1 is conceptually replaced by v2 after approval.,Mark v1 DEPRECATED only after approval.,YES,
DECISION,DEC-0017,FASE 2 — Definizione dell’unità elementare di analisi aperta formalmente; autorizzata Chat 2.1 — Definizione dell’unità elementare di analisi.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0018,La cartella OneDrive tecnica del progetto è rinominata da project_storage a 5_HUB_FVG.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0019,F2-D1 — L’unità elementare del modello è un’area/poligono fisicamente localizzabile.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0020,F2-D2 — Le geometrie multipart disconnesse vengono separate di default in candidati distinti; eccezione solo con continuità operativa reale e documentabile.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0021,"F2-D3 — Il punto rappresentativo del candidato è una geometria ausiliaria interna; default point-on-surface, non centroide; non è accesso implicito né origine automatica del routing.",FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0022,"F2-D4 — Ogni candidato può mantenere più accessi stradali potenziali/validati; il routing parte dagli accessi e usa road anchor distinti, non dal punto rappresentativo.",FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0023,F2-D5 — Candidati duplicati riferiti allo stesso sito fisico devono essere riconosciuti e trattati in modo coerente; sovrapposizioni e duplicati vanno canonicalizzati mantenendo la lineage delle fonti.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0024,F2-D6 — L’identità logica del candidato è stabile e distinta dalla versione della geometria e dal geometry hash.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0025,F2-D7 — Un candidato non viene spezzato automaticamente quando attraversa un confine comunale.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0026,"F2-D8 — Nessuna tolleranza geometrica numerica viene fissata in Fase 2; snap, merge, micro-gap, equivalenza e overlap saranno derivati dalla qualità dei dati validati in Fase 3–4.",FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0027,FASE 2 — Specifica consolidata dell’unità elementare di analisi v01 approvata e FROZEN; FASE 2 dichiarata PASS / CLOSED / FROZEN.,FROZEN,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0028,FASE 3 — Inventario e validazione dei dati aperta formalmente; autorizzata Chat 3.1 — Inventario master e gap analysis dei dati.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0029,Chat 3.1 — Inventario master e gap analysis: PASS tecnico-operativo accettato dalla Chat Madre; autorizzate Chat 3.2 e Chat 3.3.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0030,Chat 3.2 e Chat 3.3 — PASS tecnico-operativo accettato dalla Chat Madre; artifact integrati su main.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0031,ISS-0003 risolta: i WFS CER D/H derivati dalla Mosaicatura PRG 2018 non sono accettati come rappresentazione dell’urbanistica vigente 2026.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0032,Procedura P1 urbanistica current-first/ibrida approvata: per ogni Comune la vigenza deriva dal PRGC effettivamente vigente; EagleFVG/Regione può fornire la geometria solo quando l’allineamento alla variante vigente è verificato; negli altri casi si ricorre alla fonte ufficiale comunale con lineage esplicita.,ACCEPTED,SIMPLIFY,urban_source_hierarchy,Current-first remains preferred; full region-wide proof is not a due-diligence prerequisite.,Use best-available plus currentness flag.,YES,
DECISION,DEC-0033,Q-METH-3.1-C — trattamento di proprietà e disponibilità fondiaria: approvata gestione separata tra disponibilità fisica oggettiva e disponibilità proprietaria/commerciale.,ACCEPTED,SUPERSEDE_PROPOSED,post_model_property,"Conceptual separation remains useful, but property/commercial availability leave the core.",New decision moves property/commercial verification post-model.,YES,Successor decision: property/commercial availability becomes post-model due diligence
DECISION,DEC-0034,Autorizzata Chat 3.7 — Crosswalk TEN-T FVG e rilevanza delle uscite AFIR.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0035,Accettato il PASS tecnico-operativo della Chat 3.7 dopo rework di riproducibilità; ISS-0005 risolta sul piano tecnico.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0036,Q-METH-3.3-A — nearest TEN-T exit sui tratti senza veri svincoli: risolta come non materialmente applicabile al dominio FVG corrente.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0037,"Autorizzata Chat 3.4 — Vincoli territoriali, ambientali e paesaggistici.",ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0038,Accettato il PASS tecnico-operativo della Chat 3.4; ISS-0008 risolta; ISS-0006 e ISS-0011 restano aperte.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0039,Q-METH-3.4-A — trattamento PGRA: no hard filter generale; conformità normativa separata dalla valutazione di pericolosità/allagabilità.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0040,Q-METH-3.4-B — frane: PAI vigente come riferimento operativo/normativo principale; Catasto Frane come supporto conoscitivo.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0041,Q-METH-3.4-C — Natura 2000: screening territoriale automatico preliminare con uso prioritario delle prevalutazioni regionali; VINCA formale fuori dal modello.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0042,"Q-METH-3.4-D — parchi, riserve, biotopi e prati stabili: trattamento differenziato per categoria.",ACCEPTED,SUPERSEDE_PROPOSED,environment_role,"It predetermines a future stable-grassland penalty, while DEC-0061 leaves indicators/scoring unapproved.",Preserve data/flags; hard/soft/flag role decided in DQ-02.,YES,Successor/clarification: keep DEROGA_REQUIRED flag; finalist biotope/derogation checks post-model; any soft effect future
DECISION,DEC-0043,"Q-METH-3.4-E — PPR: controllo di compatibilità, senza esclusione o penalizzazione automatica per la sola intersezione.",ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0044,Autorizzazione Chat 3.8 — acquisizione e validazione urbanistica corrente FVG.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0045,Chat 3.8 — PASS tecnico-operativo accettato; PHASE_4_READINESS = NOT_READY; ISS-0010 resta OPEN.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0046,Autorizzazione Chat 3.9 — chiusura mirata dei 43 Comuni urbanistici TO_VERIFY.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0047,Chat 3.9 — PASS tecnico-operativo accettato; TO_VERIFY azzerati; PHASE_4_READINESS resta NOT_READY; ISS-0010 resta OPEN.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0048,Urbanistica Fase 4 — uso della migliore geometria ufficiale disponibile come proxy dichiarato; verifica corrente obbligatoria sui candidati finalisti.,ACCEPTED,SUPERSEDE_PROPOSED,urban_planning,"Urban proxy remains useful, but pointwise final-site planning verification is not a strategic-model gate.",Currentness flag in core; due diligence post-model.,YES,Successor decision: keep planning currentness flag but move definitive finalist verification post-model
DECISION,DEC-0049,Autorizzazione Chat 3.5 — rete elettrica e fattibilità energetica.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0050,Energia — pianificazione di massima: prossimità all'infrastruttura elettrica come proxy; capacità reale rinviata ai finalisti.,ACCEPTED,SIMPLIFY,energy_proxy,Macro proxy is coherent; real capacity/point/cost move explicitly post-model.,Keep proxy; remove finalist-detail obligation from core.,YES,Successor decision: keep energy proximity proxy; move real MW/point/cost/technical study post-model
DECISION,DEC-0051,Successione Chat Madre — denominazione ufficiale Chat 0.2 — Chat Madre 5 HUB.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0052,Chat 3.5 — quality gate proxy rete elettrica accettato tecnicamente con limitazioni; baseline metodologica ancora non approvata.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0053,Energia — baseline dati del proxy territoriale di prossimità APPROVATA per pianificazione macro.,ACCEPTED,SIMPLIFY,energy_proxy_data,OSM+official areas+DSO baseline remains useful; real connection checks are post-model.,Dataset KEEP; finalist clause post-model.,YES,Successor/clarification: data baseline retained; finalist real-connection clause moved post-model
DECISION,DEC-0054,Chat 3.10 — riuso baseline tesi Light/Heavy per pianificazione macro 5 HUB.,ACCEPTED,KEEP,governance_or_validated_baseline,Coherent or non-conflicting with DEC-0061.,No substantive change.,NO,
DECISION,DEC-0055,Chat 3.10 — baseline Light/Heavy validate per scala macro; ISS-0004 risolta proceduralmente.,ACCEPTED,SUPERSEDE_PROPOSED,mobility_macro,Light/Heavy macro baselines remain core; local-road-access gate is local due diligence.,Transform to flag/post-model unless a macro indicator is later approved.,YES,Successor decision: macro Light/Heavy retained; LOCAL_ROAD_ACCESS_CHECK becomes flag/post-model
DECISION,DEC-0056,Chat 3.11 — autorizzata validazione baseline idrogeologica corrente PGRA + PAI.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0057,"Chat 3.11 — quality gate PGRA+PAI accettato con limitazioni; ISS-0006 risolta proceduralmente, ISS-0012 resta REVIEW.",ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0058,PAI/frane — fallback macro approvato; ISS-0012 risolta proceduralmente.,ACCEPTED,SIMPLIFY,pai_macro,PAI fallback remains useful; pointwise final-site check should not be required to close the model.,Use as hard/soft/flag only after DQ-02; pointwise post-model.,YES,Successor decision: PAI macro reference/support retained; mandatory pointwise finalist check moved post-model
DECISION,DEC-0059,Chat 3.12 — autorizzata formalizzazione del pre-screening Natura 2000 e rule-set prevalutazioni.,ACCEPTED,HISTORICAL_SUPPORT,history,Executed operational/transitional decision; preserve for traceability.,No normative role in v2.,NO,
DECISION,DEC-0060,Chat 90.0 — Relazione Builder istituita come workstream editoriale trasversale con delega a chat figlie 90.x.,ACCEPTED,SIMPLIFY,editorial,"Chat90 remains valid, but its v01 architecture must align to DEC-0061.",Propose RELATION_ARCHITECTURE_v02.,YES,Editorial successor only: RELATION_ARCHITECTURE_v02_PROPOSED after rebaseline approval
DECISION,DEC-0061,Re-baseline strategica del progetto: modello GIS multicriterio dimostrativo a scala di pianificazione strategica.,ACCEPTED,KEEP,model_contract,Founding decision for rebaseline.,Constrains all v2 work.,NO,
ISSUE,ISS-0001,Baseline Claude da collocare formalmente in project_storage\00_baseline e registrare nel DATA_REGISTRY.,RESOLVED,HISTORICAL_SUPPORT,issue_disposition,Infrastructure/baseline closure already complete; no v2 effect.,No action.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0002,"La derivazione delle 1.377 aree candidate del pacchetto QGIS Beltrame non è ricostruibile dal solo QGZ/GPKG; il dataset incorpora inoltre un limite minimo osservato di 5.016,2 m² coerente con la soglia storica di 5.000 m².",OPEN,HISTORICAL_SUPPORT,issue_disposition,Claude candidate universe will not be reused as authoritative universe.,Close as historical non-blocker after rebaseline approval.,YES,Future status proposed: PROPOSE_RESOLVED_AS_HISTORICAL
ISSUE,ISS-0003,La Mosaicatura PRG 2018 alla base dei WFS regionali industriali/commerciali non è dimostrata come rappresentazione dell'urbanistica vigente 2026.,RESOLVED,KEEP,issue_disposition,Correctly keeps CER D/H as historical/support rather than current planning.,No action.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0004,Il Grafo stradale FVG non è ancora validato come rete routabile Light/Heavy per il modello 5 HUB.,RESOLVED,KEEP,issue_disposition,Validated Light/Heavy macro baselines remain fit for strategic model.,Only local-access obligation is re-disposed through DEC-0055.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0005,La geometria/classificazione TEN-T corrente coerente con Reg. (UE) 2024/1679 a tre livelli non è ancora materializzata e validata per FVG.,RESOLVED,KEEP,issue_disposition,Validated TEN-T is core for accessibility/corridors.,No action.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0006,I vettori PGRA coerenti con l'aggiornamento adottato in salvaguardia a gennaio 2026 non sono ancora acquisiti nel nuovo progetto.,RESOLVED,KEEP,issue_disposition,PGRA fallback/currentness is sufficient for macro use.,Future hard/soft/flag role remains to decide.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0007,Non esiste nel progetto un dataset validato di capacità elettrica disponibile/punto di connessione per i siti candidati.,RESOLVED,SIMPLIFY,issue_disposition,Region-wide capacity is not a blocker; real connection is post-model.,Confirm capacity/point/cost are outside core.,YES,Future status proposed: RESOLVED
ISSUE,ISS-0008,Il PPR vigente dopo la Variante 2/2025 richiede una procedura di estrazione GIS riproducibile dal riferimento ufficiale.,RESOLVED,KEEP,issue_disposition,Current PPR and reproducible extraction remain useful.,Operational role to be decided later without new legal interpretation.,NO,Future status proposed: RESOLVED
ISSUE,ISS-0009,Proprietà e disponibilità effettiva delle superfici non sono coperte da un dataset region-wide validato.,OPEN,DEFER_POST_MODEL,issue_disposition,Property/commercial availability are outside the DEC-0061 core model.,Close as post-model gap and supersede finalist property requirement.,YES,Future status proposed: PROPOSE_CLOSED_OUT_OF_SCOPE_CORE
ISSUE,ISS-0010,La vigenza dei PRGC comunali non è uniformemente automatizzabile: pubblicazione digitale eterogenea e accesso EagleFVG non equivale da solo a variante vigente verificata.,RESOLVED,SIMPLIFY,issue_disposition,Best-available planning remains useful for polygon generation/classification; pointwise due diligence is not a model gate.,Keep currentness flag; move pointwise urban verification post-model.,YES,Future status proposed: RESOLVED
ISSUE,ISS-0011,"Il layer regionale WFS dei biotopi espone 40 geometrie e il testo riepilogativo della pagina regionale continua a dichiarare 40 biotopi; tuttavia la tabella della stessa pagina e gli atti vigenti includono anche n. 41 e n. 42, istituiti con DPReg 065/2026 e 066/2026. Il corpus legale corrente comprende quindi 42 biotopi, con pubblicazione regionale internamente disallineata.",RESOLVED,SIMPLIFY,issue_disposition,Biotope gap remains documented; uncertainty can be a flag/limit rather than final-site due diligence blocker.,Treat as flag/limit unless DQ-02 promotes a rule.,YES,Future status proposed: RESOLVED
ISSUE,ISS-0012,La cartografia PAI vigente completa per la pericolosità da frana e le eventuali aree/zone di attenzione non è ancora acquisita e validata come baseline operativa del progetto.,RESOLVED,SIMPLIFY,issue_disposition,PAI/NTA and pre-screening remain useful; pointwise finalist check is not required to close strategic model.,Move pointwise check post-model unless future hard rule is approved.,YES,Future status proposed: RESOLVED
ISSUE,ISS-0013,"Le prevalutazioni Natura 2000 regionali vigenti, le aree di interferenza funzionale e la verifica di corrispondenza non sono ancora codificate in un rule-set riproducibile per il pre-screening automatico dei candidati Hub.",OPEN,SIMPLIFY,issue_disposition,Chat 3.12 passed independent review with limitations; coding gap is technically resolved.,Chat 0.2/user decides closure and branch integration; no automatic hard filter.,YES,Future status proposed: PROPOSE_RESOLVED_PROCEDURALLY
ISSUE,ISS-0014,Copia TESI_BASELINE_SAFE di G_OSM_operativo_v01.gpkg con hash diverso dal FROZEN; due copie preservate coincidono con l'hash atteso.,RESOLVED,HISTORICAL_SUPPORT,issue_disposition,Preservation repair complete; no methodological effect.,No action.,NO,Future status proposed: RESOLVED
DATASET,BL_CLAUDE_001,Baseline storica Claude — Studio mobilità sostenibile,TO_VERIFY,HISTORICAL_SUPPORT,legacy,Historical non-authoritative baseline.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,BL_CLAUDE_QGIS_001,Baseline storica QGIS — QGZ_Beltrame,TO_VERIFY,HISTORICAL_SUPPORT,legacy,"Benchmark/source discovery, not authoritative candidate universe.",Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_CONSORTIA_AVAIL_001,Fonti disponibilità lotti/immobili dei Consorzi di sviluppo economico locale,REVIEW,DEFER_POST_MODEL,commercial_availability,Dynamic availability is outside core.,Dataset availability does not imply indicator inclusion.,YES,
DATASET,F3_SRC_FVG_CP_001,Aree convenzionali cabine primarie — CER:AREECONVENZIONALI_CP,ENDPOINT_VERIFIED / SCREENING_ONLY,KEEP,energy_support,"Service areas useful as cross-check, not physical CP/capacity.",Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_EAGLE_PRGC_001,EagleFVG — pubblicazione/consultazione PRGC comunali,REVIEW,KEEP,candidate_generation,Urban-planning access source with caveats.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_LANDSLIDE_001,Catasto/pericolosità frane FVG — IRDAT:CATFRANE_PERICOLOSITA,ACCEPTED,KEEP,environment_support,Declared geological support.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_LANDSLIDE_002,Viste regionali correnti Catasto Frane — UTIL_TER pericolosità/perimetro + IRDAT IFFI,ACCEPTED,KEEP,environment_support,Landslide pre-screening/support.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_NATURA_001,Natura 2000 e aree protette FVG,SOURCE_VERIFIED / SEMANTICS_VALIDATED_WITH_GAP,KEEP,environment,Geometry/protection baseline useful for screening.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_NATURA_PRESCREEN_001,"Natura 2000 FVG — prevalutazioni, verifica di corrispondenza e interferenza funzionale",REVIEW,SIMPLIFY,environment_support,"Technically valid rule-set, but use as screening/flag rather than mini-VINCA.",Dataset availability does not imply indicator inclusion.,YES,
DATASET,F3_SRC_FVG_PATRIMONY_001,Patrimonio immobiliare disponibile della Regione FVG,REVIEW,DEFER_POST_MODEL,property,Public ownership is outside core.,Dataset availability does not imply indicator inclusion.,YES,
DATASET,F3_SRC_FVG_PRGC_CURRENT_001,PRGC comunali correnti FVG — censimento IRDAT + fonti comunali ufficiali,ACCEPTED,KEEP,candidate_generation,Best-available planning for polygon generation/classification with flags.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_ROADGRAPH_001,Grafo stradale Regione FVG — RETI_TRASP:GRAFO_STRADALE_FVG,REVIEW,HISTORICAL_SUPPORT,road_support,Not needed for validated Light/Heavy macro system.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_TOURISM_001,Movimento turistico FVG / WebTur / rilevazione ISTAT,SOURCE_VERIFIED / RAW_EXTRACT_TO_VALIDATE,HISTORICAL_SUPPORT,optional_context,Not required unless selected as a criterion.,Dataset availability does not imply indicator inclusion.,NO,
DATASET,F3_SRC_FVG_ZONING_COM_001,Zone commerciali — CER:ZONE_COMMERCIALI_H,HISTORICAL_ONLY / SUPPORT_ONLY,HISTORICAL_SUPPORT,urban_legacy,2018 mosaic useful as fallback/lineage.,Dataset availability does not imply indicator inclusion.,NO,
